id,title,caption,alt
79,"Benediction; Drew Faust, President of Harvard University","Cambridge, MA; Spring 2014","Drew Faust, President of Harvard University"
80,Skyline Drive,Virginia; Summer 2014,
81,Summer Flowers,"Dumbarton Oaks, Washington, DC; Summer 2012",Summer Flowers
82,Summer Flowers,"Dumbarton Oaks, Washington, DC; Summer 2012",Summer Flowers
83,Summer Flowers,"Dumbarton Oaks, Washington, DC; Summer 2012",Summer Flowers
84,"Moses Kim, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"Moses Kim, Pfoho Reflections Speaker"
85,"Lisette Candia Diaz, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"Lisette Candia Diaz, Pfoho Reflections Speaker"
86,"William Greenlaw, Pfoho Reflections Speaker",Pforzheimer House; Spring 2016,"William Greenlaw, Pfoho Reflections Speaker"
87,CS50 Freshman Advising Fair,"Cambridge, MA; Fall 2015",CS50 Freshman Advising Fair
88,CS50 Freshman Advising Fair,"Cambridge, MA; Fall 2015",CS50 Freshman Advising Fair
89,CS50 Quiz 0 Grading,"Cambridge, MA; Fall 2015",CS50 Quiz 0 Grading
90,Loker Reading Room,"Widener Library, Cambridge, MA; Fall 2015",Loker Reading Room
91,Widener Library,"Widener Library, Cambridge, MA; Fall 2015",Widener Library
92,CS50 Fair,"Cambridge, MA; Fall 2015",CS50 Fair
93,CS50 Music Video,"Cambridge, MA; Spring 2015",CS50 Music Video
94,Harvard Thinks Big,"Sanders Theater, Cambridge, MA; Spring 2015",Harvard Thinks Big
95,Harvard Thinks Big,"Sanders Theater, Cambridge, MA; Spring 2015",Harvard Thinks Big
96,David Malan,"Sanders Theater, Cambridge, MA; Spring 2015",David Malan
97,,,
98,,,
99,Harvard Collegum Musicum,"Sanders Theater, Cambridge, MA; Spring 2016",Harvard Collegum Musicum
100,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
101,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
102,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
103,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
104,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
105,Quad Formal,Radcliffe Quadrangle; Spring 2016,Quad Formal
106,,,
107,,,
108,Glacial Melt,"Jökulsárlón, Iceland; Summer 2015",Glacial Melt
109,Gullfoss,"Gullfoss, Gullfossi, Iceland; Summer 2015",Gullfoss
110,Birthday Party Guests,"Cambridge, MA; Fall 2014",Birthday Party Guests
111,Harvard in Fall,"Harvard Yard, Cambridge, MA; Fall 2013",Harvard in Fall
112,Head of the Charles,"Charles River, Cambridge, MA; Fall 2013",Head of the Charles
113,Blocking Group Photo,"Pforzheimer House, Cambridge MA; Winter 2013",Blocking Group Photo
114,,,
115,Pforzheimer House Glassblowing Workshop,"Cambridge, MA; Spring 2015",Pforzheimer House Glassblowing Workshop
116,St. Paul's Choir School,"St. Pauls, Cambridge, MA; Spring 2014",St. Paul's Choir School
117,Bleeding Hearts,"Bridgewater, MA; Spring 2014",Bleeding Hearts
118,Taylor Weary Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Taylor Weary Senior Photo
119,Lexie Schachne Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Lexie Schachne Senior Photo
120,Hannah McSween Senior Photo,"Grounds, Charlottesville, VA; Spring 2016",Hannah McSween Senior Photo
121,Veritas,Widener Library; Spring 2016,Veritas
122,Robbie and Angela Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Robbie and Angela Senior Photo
123,Alex and Raya Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Alex and Raya Senior Photo
124,Alex and Raya Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Alex and Raya Senior Photo
125,Alex Young Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Alex Young Senior Photo
126,Hannah McSween Senior Photo,"Grounds, Charlottesville, VA; Spring 2016",Hannah McSween Senior Photo
127,Taylor Weary Senior Photo,"Weeks Footbridge, Cambridge, MA; Spring 2016",Taylor Weary Senior Photo
128,Golden Gate Bridge,"Vista Point, Sausalito, CA; Fall 2016",Golden Gate Bridge
129,Golden Gate Bridge,"Vista Point, Sausalito, CA; Fall 2016",Golden Gate Bridge
130,Spider Web,"Muir Woods National Monument, CA; Fall 2016",Spider Web
